,domain,id,id_str,party,screen_name,state
6639,1.0,858638469572300800,858638469572300800,BJP,AjayRaj70197194,Uttar Pradesh
6640,1.0,777917741831491584,777917741831491584,To Be Added,RAVIKANT9451,Uttar Pradesh
6641,1.0,902481013602828288,902481013602828288,BJP,BJP4Yamunapar,Uttar Pradesh
6642,1.0,1084792739663732736,1084792739663732736,BJP,SatishKSinghBJP,Uttar Pradesh
6643,1.0,1107648076720685056,1107648076720685056,BJP,manju27bjp,Uttar Pradesh
6644,1.0,2807035136,2807035136,BJP,akashpatelrudra,Uttar Pradesh
6645,1.0,708693745424670720,708693745424670720,BJP,AK_SinghBJP,Uttar Pradesh
6646,1.0,718098000363413505,718098000363413504,BJP,TineshwarB,Chhattisgarh
6647,1.0,848799989996204034,848799989996204032,BJP,rubygup06567373,Uttar Pradesh
6648,1.0,701724698464288769,701724698464288768,BJP,LeaderBJP_UP,Uttar Pradesh
6649,1.0,1952118667,1952118667,BJP,NItuKum56875253,Uttar Pradesh
6650,1.0,853087936312684544,853087936312684544,BJP,IChandra_M,Uttar Pradesh
6651,1.0,2308127551,2308127551,BJP,pankajbjp777,Uttar Pradesh
6652,1.0,844403228594835456,844403228594835456,BJP,voiceofAMAN_,Uttar Pradesh
6653,1.0,703195615258214400,703195615258214400,BJP,anshuman12388,Uttar Pradesh
6654,1.0,871249510621736960,871249510621736960,BJP,Manoharsinhjha1,Uttar Pradesh
6655,1.0,2543432786,2543432786,BJP,meegovind,Uttar Pradesh
6656,1.0,3112385570,3112385570,To Be Added,pfspsinghbaghel,Uttar Pradesh
6657,1.0,960862652259098624,960862652259098624,BJP,NebhwaniSunil,Chhattisgarh
6658,1.0,177520040,177520040,BJP,AnandDadarya,Uttar Pradesh
