,id,id_str,screen_name,confirmed_politician,state
5628,748333196685639681,748333196685639680,BobbyMoakMSDem,1,Mississippi
5629,293101518,293101518,RepBillKortz,1,Pennsylvania
5630,394456450,394456450,ChrisBrownHD20,1,Mississippi
5631,907073647,907073647,UMissDems,1,Mississippi
5632,41880322,41880322,AtlanticDems,1,New Jersey
5633,717447066,717447066,DavidParkerSen,1,Mississippi
5634,18779633,18779633,senbillstone,1,Mississippi
5635,384690337,384690337,jarvisdortch,1,Mississippi
5636,188012246,188012246,YoungDemsMS,1,Mississippi
5637,68797577,68797577,terrycburton,1,Mississippi
5638,1068560332279427072,1068560332279427072,MSHouseOfRep,1,Mississippi
5639,21700947,21700947,RepBecky,1,Mississippi
5640,313122320,313122320,RankinDems,1,Mississippi
